uid,id,stars,review,type,filename,url
25051,29026,0,"Whether or not you like this movie will probably depend on whether you like seeing movies where the leading characters aren't particularly bright or likable. If you can get past this, you'll probably be a person who would rate this movie higher than a 2.<br /><br />Kristen seems like a normal and decent sort of person for the first 1/4 of the film. In fact, at times, she physically looks a lot like the director, Liv Ullmann. However, rather inexplicably, she is swept away by a rogue. WHY she loves him exactly is never clear--it just seems like a case of infatuation. BUT, here's where the dumb part of the film occurs. First, despite there being little to base such a strong attraction on, Kirsten sleeps with the man and pledges her life to him--even after she finds out he already has a mistress (who, left her own husband to be with him). Then, despite finding out more and more and more awful things about the guy (he's a real pig), she steadfastly refuses to back away from him---hurting her parents and her fiancé in the process. Think about it--a woman sacrifices everything for a man she barely knows and what so does know about him is really bad stuff!! I hate films about dumb people.<br /><br />By the way, IF the film had been the same up until she met the jerk and then fell in love with a WORTHY man, then this could have been a wonderful film about a young lady choosing an arranged marriage or listening to her own needs. But, as she is just a horny idiot, this was an opportunity lost.",Train,./train/unsup/29026_0.txt,http://www.imdb.com/title/tt0113576/usercomments
25052,14540,0,"I recently watched this movie for the first time in a long time and I soon realized why I've avoided it for so long. First of all, I have to say that I've always loved the ""Peanuts"" comic strip and the delightfully witty antics of Charlie Brown, Snoopy, Linus and Lucy. ""A Charlie Brown Christmas"" is still my all time favorite Xmas special and most of the early specials remain among my favorites. And I saw ""A Boy named Charlie Brown"" at the theatre as a kid and still love it. I never saw ""Snoopy Come Home"" at the theatre,probably because I felt that I was getting too old for the Peanuts gang. But I did catch the movie when it appeared on network TV a few years later. I remember being so disappointed I didn't even watch to the end. So when I decided to take another look at it, I thought maybe I misjudged it. Unfortunately, I realized that I had not misjudged it. First of all, this is the first ""Peanuts"" production that didn't have Charlie Brown in the title. Also, Vince Guaraldi, the wonderfully talented composer of the specials is not involved at all. Then there is a very dark and very sad plot line, involving Snoopy leaving Charlie and the gang to visit his original owner,Leila in the hospital. I know this was a story line from the strip, but in the strip, Charlie Brown and the others don't seem to come off as badly as they do in this film. And lets face it, the music is corny as all get out. Guaraldis music is sorely missed here. His scores are filled with joy and optimism, but the music here is so manipulative and dated, you don't feel joy, but you feel used. The one part I really enjoyed was when Snoopy is captured by the crazy Clara. That was the only time I felt any sense of the joy of the classic ""Peanuts"" specials, although I did get kind of a kick out of Thurl Ravenscroft singing ""No Dogs Allowed"" whenever Snoopy saw a sign with that on it. The story had none of the wit of the strip, the specials or the first movie. It just seemed like a bummer every time Charlie Brown came on, bemoaning the loss of his dog. And even the animation didn't seem as bold or striking as it was in the first movie, with fewer bold choices like the ""Beethoven"" montage from that movie. I've always thought that Snoopy had pretty much taken over the strip in the mid 70s and to an extent, the specials, but the Snoopy obsession seems to have reached its peak here. But I do like the way Peppermint Patty is used here, as well as Woodstock, but thats about it for the positives. Im guessing that the later movies are probably even weaker, because the later specials would suffer, especially following Guaraldis death. You probably think Im just getting old, but I still love the early specials and the first movie and I still love reading classic strips. So I will return to those and get the bad taste of ""Snoopy Come Home"" out of my mouth.",Train,./train/unsup/14540_0.txt,http://www.imdb.com/title/tt0069289/usercomments
25053,28594,0,"How many movies are going to use ""Frightmare"" as a title? And why do they all suck? This low-budget horror flick was poorly shot, likely on digital, with bad acting, dialog and plot. I wish there was something nice I could say, but...<br /><br />****SPOILER****<br /><br />Anyway, a serial killer shows up in a small town and terrorizes a highschool senior class. One of the students is a journalist who has studied the killer's exploits. Of course, the police don't buy their story, so the students are forced to try and survive on their own--inside a school-sanctioned haunted house.<br /><br />The story is lame, the acting is lame, the story is lame...did I say that? Well, it's true.",Train,./train/unsup/28594_0.txt,http://www.imdb.com/title/tt0265496/usercomments
25054,21776,0,"This movie is really a stinker. Everything is good about it except the characters and the writing. It has high production values, the acting is very good, but the characters are shallow, narcissistic and nothing more than sum of their hangups. It's like some teenage film school freshman was given unlimited resources to try to create the most quirky characters ever, without a story to hang it on. Perhaps it's how a spoiled, rich teenager would imagine adults to be, selfish, whiny, demanding and spiritually hollow. <br /><br />The three brothers are riding a train in India in hopes of finding and visiting their mother who failed to show up at their father's funeral. We are treated to a relentless display of the brothers' bizarre and exhibitionistic behavior as the train trundles through the Indian countryside. They behave like chronically depressed 4 year olds. Maybe the filmmaker thought he was getting at contemporary angst, maybe he just thought he was creating amusing madcap clowns in the spirit of ""A Hard Day's Night."" But these clowns aren't young, their antics don't amuse, they grate. We come to hate them as much as they hate each other. We don't care whether they find their mother or not. The older brother's head is always swathed in bandages, the result of a motorcycle crash which may have been an attempted suicide. He orders the other brothers around and they seem unable to stand up to him. One brother reads a couple of paragraphs from a story he's writing. The story is as shallow and pretentious as this movie and these characters. <br /><br />Here's the spoiler: they do meet up with the mother (Angelica Houston) who's the biggest narcissist of all. Dressed in white robes and made up with black eyeliner, she holds forth in some sort of Christian mission in the foothills of the Himalayas. Well, you might have known it...these losers were nurtured by this pompous and vain woman. No wonder. In the end the brothers are running to catch the train to go home, as they run they drop their baggage. That's symbolism; get it? They're shedding their baggage, right? But these characters are so light you can't imagine them having any hardly weight at all, even with their baggage. Without the theatrically contrived baggage they wouldn't have any material existence whatsoever. <br /><br />For the last hour of this film every scene looked like it was going to be the last. The camera focuses on the bewildered faces of the brothers, the music swells, the camera pulls away. At last! you think. It's finally over. But no, there's another scene, and another, and another. At one point they witness a young boy drowning in a canal. They try to rescue him, but can't. They take his body home to his village. There is a funeral. The scene is empty; it's like it happens in dream. The brothers appear unaffected. It is impossible to care about them. I've almost forgotten about this movie and I only saw it 2 days ago. Please, save yourself the boredom.",Train,./train/unsup/21776_0.txt,http://www.imdb.com/title/tt0838221/usercomments
25055,18725,0,"... but that's an ironic '9'... seriously, if you've ever been bored by a bad Conan rip-off or atrociously dubbed euro-trash, this is the PERFECT movie for you... it's a sci-fi/sword and sandal/post-apocalyptic mish-mash that gets more unbelievable as it goes along. The only way to distill the perfect essence that is Yor is with a meager, unworthy list (scorn) of the more jaw dropping aspects of this classic, underrated treatise on the human condition:<br /><br />1. The theme song, which at one point explains ""Yor's world/He's the maaaaaaaaaaaan(very high castrato soprano)"". <br /><br />2. The horde of smurfs-on-steroids that attack and destroy a very ineptly guarded village of hobos in furs... I'm sorry, ""natives"" in furs. <br /><br />3. Cave bimbo Kalaa's constant assertion that ""Yor's not like other men"" when in fact he looks just like every other South Beach surfer dude who's ever gotten lost in a desert wasteland. <br /><br />4. The viewer's slow realization that fat, greasy comic relief Pak always and consistently pulls Yor's fat out of the fryer whenever the blonde barbarian putz is about to get killed. <br /><br />5. Not one, but TWO paper mache dinosaurs. And a giant bat. That becomes an improvised hang glider. No joke. <br /><br />6. Geez, they just keep coming...how 'bout the line ""Take me with you stranger!"" spoken in all earnestness by a non-acting girl-child. <br /><br />7. The straw boat that's supposed to represent a sea-based culture's highest technical achievement... with seating for four. <br /><br />8. Best line in the movie- ""Damn talking box!"" <br /><br />9. Just when you're praying it won't get any more surreal, just when you've thrown up your hands and surrendered your sanity, Darth Vader shows up. Correction: an ARMY of Darth Vaders. <br /><br />10. John Steiner! Remember him? I don't! But he's the 'Overlord'! And by now, it makes sense! <br /><br />11. The same South African factory-basement set from MST3k's ""Space Mutiny"". Now you know the movie has to be a quality effort. <br /><br />12. Laser battle! Yor, having never seen a pulse rifle before, proceeds to pick off half a dozen Vaderbots from a hundred yards... or a coupla feet. My bad. <br /><br />13. Skipping intermediate plot, just know that there's a wise old blind man with a monologue and a candy-stripe barber's pole jutting from the Overlord's gut, along with genetic engineering and nuclear holocaust and a house of mirrors and a rocket jet escape and OH MY GOD they coulda made a sequel! But we all know sequels are never as good as the originals. Plus the theme song runs over the end credits and Pak displays his gymnast skills during the stirring climax... saving Yor yet again! Whatever you come away from this list with, just remember that what you have in your head is not a suitable prep for the untethered insanity, the pure unadulterated madness, the sheer brain scrambling head trip that is... YOR, THE HUNTER FROM THE FUTURE! Well worth the $.99 + tax from the blowout inventory sale at the local movie gallery.",Train,./train/unsup/18725_0.txt,http://www.imdb.com/title/tt0084935/usercomments
25056,11751,0,"After box office hit Jalla!Jalla!, Josef Fares comes with another comedy, which is a total gas.<br /><br />It's about some policemen in small-town Sweden who, crime being absent, spend most of their time, and they've got a lot of it, eating hot dogs at the local snack bar. Their biggest problem is a cow occasionally running in the street. Suddenly, they find out the police station is gonna shut down since there are no criminals around. At this point, the four protagonists(including Jalla-veterans Fares Fares and Torkel Peterson) decide to ""raise the statistic"". The results are hilarious...<br /><br />The movie is really funny and the characters are nice and believable, with the exception of Benny(Torkel Peterson), a complete moron who thinks he's Neo, Rambo and John McClane in one person. Nevertheless, Peterson is actually the main reason I kept laughing while watching the film.<br /><br />The only problem, if I can call it a problem, is the fact that some gags are a little bit too, you know, Swedish. For example, when the ""kopps"" accidentally blow up the previously mentioned snack bar, Benny's first reaction is ""Oh sh*t! Where the hell are we gonna have lunch now?"".<br /><br />Aside from that, there's no reason people shouldn't watch, and enjoy, this amusing film.<br /><br />8,5/10",Train,./train/unsup/11751_0.txt,http://www.imdb.com/title/tt0339230/usercomments
25057,33382,0,"I cannot believe people feel the need to write so ""passionately"" about how much they love this film. How on earth could anyone watch this film and then think it was anything but a steaming pile of low budget crap.<br /><br />200 American is a joke. Firstly, the storyline is nothing new and at times made me want to become bulimic.<br /><br />The actors are unbelievably bad. One of the main characters is supposed to be Australian and his accent is awful - it is not Australian at all and I'm sure many Aussies would be very offended by it. Sean Matic really should take it off his CV.<br /><br />The other actors are hammy at best. They look like they have just come from a local Church amateur dramatics group. Not one of them can make you believe that their character is real.<br /><br />What I also found annoying and a complete waste of my life was the little scenes here and there that were totally irrelevant and added nothing to the plot or character development e.g. the scene with the models.<br /><br />The budget must have been about $2. It looks like someone filmed it with a mobile phone and every now and then you see shadows of the crew. AWFUL! The best scene has to be the ""elevator"" scene where they're not actually in an elevator at all. When a lift comes to a sudden stop the people inside usually move a little bit.<br /><br />Overall this film is an abomination, I would only advise you watch it to laugh at the lives of these pathetic actors and their lack of skill.",Train,./train/unsup/33382_0.txt,http://www.imdb.com/title/tt0387805/usercomments
25058,45234,0,"Dross! Boring and predictable! After only ten minutes into the film, I could stake my life on what would happen at the end - and I was right.<br /><br />I don't mind romantic comedies, but this is drivel. Even the ""funny"" moments; those slapstick scenes that are added to films to make you laugh uproariously, barely raised a smile (a chipmunk bit his finger  hysterical. A lizard bit his hand and he falls on his back hilarious).<br /><br />This film has no redeeming features whatsoever and even the inclusion of such comic genii as Matthew McConaughey and Sarah Jessica Parker couldn't get it going. What did I expect though, going to see a film with those two hams in the starring roles, they actually make Courteney Cox look funny. In my defence though, one night a week I do Support Work and my disabled employer wanted to go to the cinema. There was nothing on we hadn't already seen so we took a chance on this. Well, even he thought it was turd. I thought he was going to sack me!<br /><br />If you want my advice, don't waste your time with this nonentity. I'd rather nail my eyelids to the floor than sit through this tripe again.",Train,./train/unsup/45234_0.txt,http://www.imdb.com/title/tt0427229/usercomments
25059,47411,0,"If you must watch this movie, do so with the sound off - and perhaps an assortment of music for background noise instead. The elephants are both supposed to be boys, yet the younger brother, TuTu, is obviously performed by a woman trying to sound like a child. The effect is exceptionally annoying. As if this were not bad enough, the dialogue is insufferable. The lines are both poorly written AND poorly delivered. The story is narrated by two cheetahs who at least attempt to sound African, but all other roles are done in various accents - none of them consistent or ethnic. The overall result is campy at best. If my two year old hadn't been interested, I would have turned it off. As it was, my ten year old, eleven year old, my spouse and myself had to leave the room before the movie was part over. Toddlers and preschoolers may enjoy it. Perhaps even kindergartners. Any one over age five should either steer clear, or listen to their ipod in lieu of the movie sound.",Train,./train/unsup/47411_0.txt,http://www.imdb.com/title/tt0459272/usercomments
25060,20293,0,"** Here be spoilers **<br /><br />An artist inherits a part in a big store, and plan to sell it to build a musical conservatory. However, there are plans to murder him in an effort to steal the store. Flywheel, a mediocre private detective, is brought in to protect the artist. Of course there immediately is trouble and mix-ups.<br /><br />Groucho is his usual self, delivers a quick and witty dialog masterfully. By his side his brothers Chico and Harpo bring solid efforts and the three of them is the entire show. The other cast falls into shadow, with few exceptions. However, no harm done because the Marx brothers are very good. As stated, very funny dialog, good comedy and some nice musical scenes.<br /><br />7/10",Train,./train/unsup/20293_0.txt,http://www.imdb.com/title/tt0033388/usercomments
